,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,geo_uid,ct_name,avg_rent_2016,avg_dwelling_cost_2016,median_income_2016,income_monthly_2016,pct_income_rent_2016,years_to_save_2016,advocado_2016
5167,9330004.01,4.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330004.01,4.01,1368,1474672,59026,4918.83,27.81,25.04,273.6
3788,9330142.03,142.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330142.03,142.03,1581,1291699,63915,5326.25,29.68,21.93,316.2
2105,9330020,20,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330020,20,1979,2663509,99968,8330.67,23.76,45.23,395.8
2169,9330188.08,188.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330188.08,188.08,1505,990902,97600,8133.33,18.50,6.29,301
2497,9330181.12,181.12,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330181.12,181.12,2364,1831533,122624,10218.67,23.13,31.10,472.8
2150,9330149.07,149.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330149.07,149.07,1444,2146408,79360,6613.33,21.83,36.45,288.8
4961,9330007.02,7.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330007.02,7.02,1994,3361575,99520,8293.33,24.04,57.08,398.8
785,9330287.13,287.13,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330287.13,287.13,1422,900075,72533,6044.42,23.53,5.52,284.4
4007,9330143.04,143.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330143.04,143.04,1447,1486791,84523,7043.58,20.54,25.25,289.4
2917,9330143.03,143.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330143.03,143.03,1409,1645990,64256,5354.67,26.31,27.95,281.8
750,9330287.09,287.09,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330287.09,287.09,1354,406195,43241,3603.42,37.58,1.72,270.8
4206,9330151.08,151.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330151.08,151.08,1436,757408,63147,5262.25,27.29,4.31,287.2
5062,9330147.05,147.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330147.05,147.05,1328,490625,49440,4120.00,32.23,2.08,265.6
5079,9330133.02,133.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330133.02,133.02,3124,2443032,145481,12123.42,25.77,41.48,624.8
1619,9330027.02,27.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330027.02,27.02,1870,2519643,67456,5621.33,33.27,42.78,374
4111,9330010.02,10.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330010.02,10.02,1637,2931338,71467,5955.58,27.49,49.78,327.4
2136,9330134,134,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330134,134,2362,3192847,92928,7744.00,30.50,54.22,472.4
4983,9330144.05,144.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330144.05,144.05,1559,1289302,69056,5754.67,27.09,21.89,311.8
2279,9330149.06,149.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330149.06,149.06,1689,1295237,69717,5809.75,29.07,21.99,337.8
4230,9330147.01,147.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330147.01,147.01,1558,737093,58829,4902.42,31.78,4.14,311.6
2274,9330145.02,145.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330145.02,145.02,1713,1066926,82716,6893.00,24.85,18.12,342.6
5276,9330149.05,149.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330149.05,149.05,1439,1882924,66496,5541.33,25.97,31.97,287.8
4188,9330151.07,151.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330151.07,151.07,1418,524288,42061,3505.08,40.46,2.33,283.6
1872,9330027.01,27.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330027.01,27.01,2286,2644355,85504,7125.33,32.08,44.90,457.2
753,9330226.03,226.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330226.03,226.03,1332,532612,39134,3261.17,40.84,2.40,266.4
626,9330147.07,147.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330147.07,147.07,1275,482048,34880,2906.67,43.86,2.05,255
1961,9330069.01,69.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330069.01,69.01,1634,1434543,48141,4011.75,40.73,24.36,326.8
2168,9330148,148,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330148,148,1363,711643,36759,3063.25,44.50,3.92,272.6
2159,9330135,135,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330135,135,2784,2887396,106880,8906.67,31.26,49.03,556.8
2273,9330145.01,145.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330145.01,145.01,1666,1562970,63898,5324.83,31.29,26.54,333.2
2359,9330069.02,69.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330069.02,69.02,1963,861809,39104,3258.67,60.24,5.19,392.6
4027,9330403.06,403.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330403.06,403.06,NA,NA,35456,2954.67,NA,NA,NA
3740,9330102.01,102.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330102.01,102.01,NA,NA,55168,4597.33,NA,NA,NA
1550,9330130.04,130.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330130.04,130.04,NA,NA,38933,3244.42,NA,NA,NA
4100,9330500.01,500.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330500.01,500.01,NA,NA,42816,3568.00,NA,NA,NA
624,9330008.01,8.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330008.01,8.01,NA,NA,81408,6784.00,NA,NA,NA
3343,9330161.08,161.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330161.08,161.08,NA,NA,84053,7004.42,NA,NA,NA
4139,9330111.04,111.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330111.04,111.04,NA,NA,78702,6558.50,NA,NA,NA
4008,9330251.02,251.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330251.02,251.02,NA,658001,88320,NA,NA,3.46,NA
3522,9330260.11,260.11,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330260.11,260.11,NA,1241220,112384,NA,NA,21.08,NA
4461,9330181.15,181.15,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330181.15,181.15,NA,NA,47232,NA,NA,NA,NA
4094,9330251.01,251.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330251.01,251.01,NA,NA,NA,NA,NA,NA,NA
2211,9330270,270,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330270,270,NA,NA,NA,NA,NA,NA,NA
3347,9330280.01,280.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330280.01,280.01,NA,NA,NA,NA,NA,NA,NA
3345,9330290.06,290.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330290.06,290.06,NA,NA,NA,NA,NA,NA,NA
4031,9330400.07,400.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330400.07,400.07,NA,NA,NA,NA,NA,NA,NA
4032,9330400.08,400.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330400.08,400.08,NA,NA,NA,NA,NA,NA,NA
3983,9330504.14,504.14,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330504.14,504.14,NA,NA,NA,NA,NA,NA,NA
3985,9330505.03,505.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330505.03,505.03,NA,NA,NA,NA,NA,NA,NA
4124,9330111.06,111.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330111.06,111.06,NA,NA,,NA,NA,NA,NA
3976,9330161.07,161.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330161.07,161.07,NA,NA,,NA,NA,NA,NA
