geo_uid,ct_name,avg_value_dwellings_2011,avg_rent_monthly_2011,avg_income_2011,avg_income_monthly_2011,pct_income_spent_rent_2011,years_to_save,advocados_rent
9330059.1,59.1,469771,1293,49627,4135.58,31.27,3.82,281.09
9330162.03,162.03,472360,787,31767,2647.25,29.73,3.84,171.09
9330191.05,191.05,472767,930,27587,2298.92,40.45,3.84,202.17
9330185.16,185.16,473376,744,27293,2274.42,32.71,3.85,161.74
9330101.04,101.04,474282,1121,37708,3142.33,35.67,3.86,243.7
9330040.01,40.01,474519,1072,41405,3450.42,31.07,3.86,233.04
9330185.15,185.15,474582,785,25081,2090.08,37.56,3.86,170.65
9330504.08,504.08,475179,907,47225,3935.42,23.05,3.86,197.17
9330187.15,187.15,476046,807,29465,2455.42,32.87,3.87,175.43
9330063,63,476307,1065,41896,3491.33,30.5,3.87,231.52
9330067.01,67.01,477615,943,35353,2946.08,32.01,3.88,205
9330057.01,57.01,477777,603,19411,1617.58,37.28,3.88,131.09
9330502.01,502.01,477820,1133,44395,3699.58,30.63,3.88,246.3
9330186.01,186.01,477887,868,30618,2551.5,34.02,3.88,188.7
9330504.05,504.05,477967,1239,46762,3896.83,31.8,3.89,269.35
9330060.02,60.02,479553,1055,37816,3151.33,33.48,3.90,229.35
9330163.08,163.08,481389,1129,36781,3065.08,36.83,3.91,245.43
9330181.14,181.14,482490,1107,43476,3623,30.55,3.92,240.65
9330186.02,186.02,484895,795,30950,2579.17,30.82,3.94,172.83
9330185.1,185.1,488269,794,25887,2157.25,36.81,3.97,172.61
9330186.06,186.06,489582,848,26103,2175.25,38.98,3.98,184.35
9330503.03,503.03,491655,1215,41586,3465.5,35.06,4.00,264.13
9330400.06,400.06,491969,1000,40415,3367.92,29.69,4.00,217.39
9330163.06,163.06,492917,854,33198,2766.5,30.87,4.01,185.65
9330059.09,59.09,494177,1216,48075,4006.25,30.35,4.02,264.35
9330209,209,495292,1082,46610,3884.17,27.86,4.03,235.22
9330290.03,290.03,495336,909,38517,3209.75,28.32,4.03,197.61
9330060.01,60.01,496514,1126,37870,3155.83,35.68,4.04,244.78
9330191.03,191.03,497611,823,27165,2263.75,36.36,4.05,178.91
9330210,210,497850,857,37534,3127.83,27.4,4.05,186.3
9330185.2,185.2,499258,732,28356,2363,30.98,4.06,159.13
9330410.06,410.06,500741,1510,46634,3886.17,38.86,4.08,328.26
9330065,65,501012,1108,34888,2907.33,38.11,4.08,240.87
9330502.07,502.07,501836,886,43613,3634.42,24.38,4.09,192.61
9330504.06,504.06,503078,1151,47578,3964.83,29.03,4.11,250.22
9330185.12,185.12,505114,782,30083,2506.92,31.19,4.15,170
9330403.05,403.05,505340,996,44160,3680,27.07,4.15,216.52
9330504.03,504.03,509695,1193,46185,3848.75,31,4.22,259.35
