geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330287.13,287.13,28126,1328,592545,6.31,2343.83,56.66,323.11
9330287.14,287.14,42127,1166,642879,7.24,3510.58,33.21,283.7
9330290.02,290.02,31384,788,219555,2.02,2615.33,30.13,191.73
9330290.03,290.03,37658,813,390408,3.60,3138.17,25.91,197.81
9330290.04,290.04,56310,1095,477932,4.41,4692.5,23.34,266.42
9330290.05,290.05,35161,824,418228,3.85,2930.08,28.12,200.49
9330291.01,291.01,30732,805,338177,3.12,2561,31.43,195.86
9330291.02,291.02,32442,852,366272,3.38,2703.5,31.51,207.3
9330292.01,292.01,36673,1027,408575,3.77,3056.08,33.61,249.88
9330292.03,292.03,31527,953,420213,3.87,2627.25,36.27,231.87
9330292.04,292.04,34926,987,451726,4.16,2910.5,33.91,240.15
9330400.02,400.02,40137,999,580913,6.10,3344.75,29.87,243.07
9330400.03,400.03,38902,1008,390838,3.60,3241.83,31.09,245.26
9330400.04,400.04,36501,970,460972,4.25,3041.75,31.89,236.01
9330401.01,401.01,34638,685,330620,3.05,2886.5,23.73,166.67
9330401.02,401.02,29817,678,260216,2.40,2484.75,27.29,164.96
9330402.01,402.01,33197,827,340279,3.14,2766.42,29.89,201.22
9330402.02,402.02,32576,882,357705,3.30,2714.67,32.49,214.6
9330403.01,403.01,33043,947,341099,3.14,2753.58,34.39,230.41
9330403.03,403.03,31359,879,335496,3.09,2613.25,33.64,213.87
9330403.04,403.04,37036,1007,378534,3.49,3086.33,32.63,245.01
9330403.05,403.05,43057,935,412836,3.81,3588.08,26.06,227.49
9330404.01,404.01,38486,947,550358,5.54,3207.17,29.53,230.41
9330404.02,404.02,36670,947,590505,6.28,3055.83,30.99,230.41
9330410.02,410.02,33583,743,338001,3.12,2798.58,26.55,180.78
9330410.03,410.03,36641,811,389389,3.59,3053.42,26.56,197.32
9330410.04,410.04,48453,736,655105,7.47,4037.75,18.23,179.08
9330500,500,40403,764,636330,7.12,3366.92,22.69,185.89
9330501.01,501.01,34649,765,512026,4.83,2887.42,26.49,186.13
9330501.02,501.02,38457,876,629447,6.99,3204.75,27.33,213.14
9330501.03,501.03,38461,846,551623,5.56,3205.08,26.4,205.84
9330502.01,502.01,36261,588,393474,3.63,3021.75,19.46,143.07
9330502.02,502.02,42866,1019,471867,4.35,3572.17,28.53,247.93
9330502.03,502.03,37578,1203,419064,3.86,3131.5,38.42,292.7
9330502.05,502.05,45626,905,900875,12.00,3802.17,23.8,220.19
9330502.06,502.06,41950,761,538598,5.32,3495.83,21.77,185.16
9330502.07,502.07,40146,776,394996,3.64,3345.5,23.2,188.81
9330503.01,503.01,40569,1027,400781,3.69,3380.75,30.38,249.88
9330503.03,503.03,36694,1239,387993,3.58,3057.83,40.52,301.46
9330503.06,503.06,31725,853,205227,1.89,2643.75,32.26,207.54
9330503.07,503.07,22312,647,185047,1.71,1859.33,34.8,157.42
9330503.08,503.08,28748,790,272859,2.51,2395.67,32.98,192.21
9330503.09,503.09,31717,1194,220042,2.03,2643.08,45.17,290.51
9330504.01,504.01,36945,1219,458511,4.23,3078.75,39.59,296.59
9330504.03,504.03,38778,985,457335,4.22,3231.5,30.48,239.66
9330504.04,504.04,36986,1162,363504,3.35,3082.17,37.7,282.73
9330504.05,504.05,42556,1434,445155,4.10,3546.33,40.44,348.91
9330504.06,504.06,41133,914,390480,3.60,3427.75,26.66,222.38
9330505,505,45611,920,615053,6.73,3800.92,24.2,223.84
9330506.01,506.01,30282,827,294566,2.72,2523.5,32.77,201.22
9330506.02,506.02,31252,681,367137,3.38,2604.33,26.15,165.69
